[Waveform properties]
Data size,8bit
Data channel,Mono
Buffer size,0xa000

[Waveform data]
Number of data samples,0xa000
X Value,Y1 Value
0,07
1,07
2,0e
3,01
4,09
5,01
6,0f
7,0a
8,00
9,08
a,00
b,00
c,08
d,00
e,09
f,01
10,08
11,00
12,00
13,0a
14,07
15,01
16,0d
17,00
18,00
19,08
1a,00
1b,09
1c,01
1d,09
1e,01
1f,07
20,02
21,00
22,0a
23,0e
24,00
25,08
26,08
27,00
28,00
29,08
2a,00
2b,08
2c,00
2d,08
2e,00
2f,08
30,00
31,08
32,08
33,01
34,0b
35,07
36,07
37,00
38,02
39,03
3a,04
3b,02
3c,08
3d,00
3e,00
3f,09
40,01
41,0a
42,0f
43,09
44,00
45,00
46,0b
47,0b
48,01
49,0a
4a,08
4b,01
4c,0d
4d,0d
4e,08
4f,01
50,0b
51,0d
52,08
53,03
54,03
55,00
56,08
57,00
58,09
59,01
5a,08
5b,08
5c,07
5d,03
5e,09
5f,01
60,0a
61,0e
62,08
63,00
64,08
65,00
66,04
67,02
68,08
69,00
6a,00
6b,0c
6c,0c
6d,08
6e,00
6f,08
70,00
71,00
72,08
73,00
74,08
75,00
76,08
77,08
78,01
79,09
7a,01
7b,07
7c,07
7d,08
7e,00
7f,08
80,04
81,03
82,09
83,00
84,00
85,08
86,00
87,09
88,02
89,0c
8a,0f
8b,08
8c,00
8d,08
8e,0c
8f,09
90,01
91,09
92,00
93,05
94,01
95,08
96,00
97,00
98,09
99,0e
9a,08
9b,00
9c,08
9d,08
9e,02
9f,05
a0,00
a1,08
a2,00
a3,09
a4,01
a5,08
a6,08
a7,01
a8,0c
a9,0e
aa,08
ab,00
ac,08
ad,00
ae,00
af,09
b0,02
b1,04
b2,0c
b3,08
b4,00
b5,08
b6,00
b7,09
b8,01
b9,09
ba,04
bb,07
bc,03
bd,02
be,00
bf,08
c0,00
c1,08
c2,08
c3,00
c4,00
c5,0d
c6,0b
c7,09
c8,09
c9,01
ca,08
cb,08
cc,00
cd,08
ce,00
cf,08
d0,00
d1,02
d2,0f
d3,0f
d4,09
d5,00
d6,08
d7,00
d8,08
d9,01
da,07
db,01
dc,09
dd,00
de,00
df,08
e0,00
e1,09
e2,02
e3,0c
e4,0e
e5,02
e6,03
e7,08
e8,0a
e9,0b
ea,06
eb,00
ec,08
ed,00
ee,0d
ef,08
f0,00
f1,08
f2,00
f3,09
f4,01
f5,05
f6,01
f7,09
f8,00
f9,00
fa,08
fb,00
fc,08
fd,01
fe,0a
ff,0f
100,09
101,00
102,03
103,03
104,08
105,08
106,00
107,09
108,02
109,07
10a,08
10b,09
10c,0a
10d,08
10e,01
10f,0d
110,0b
111,00
112,08
113,00
114,08
115,00
