[Waveform properties]
Data size,16bit
Data channel,Mono
Buffer size,0x14000

[Waveform data]
Number of data samples,0xa000
X Value,Y1 Value
0,007d
1,0028
2,fff1
3,0007
4,fffb
5,0006
6,ffac
7,ff72
8,ff8c
9,ff7b
a,ff84
b,ff82
c,ff7f
d,ff86
e,ff7d
f,ff87
10,ff7e
11,ff82
12,ff86
13,ff75
14,ffb7
15,ffbb
16,ff75
17,ff85
18,ff84
19,ff7d
1a,ff8a
1b,ff78
1c,ff8a
1d,ff7a
1e,ff88
1f,ffed
20,0003
21,0006
22,ffd9
23,ff7b
24,ff82
25,ff84
26,ff7d
27,ff86
28,ff7d
29,ff84
2a,ff80
2b,ff80
2c,ff84
2d,ff7f
2e,ff85
2f,ff7e
30,ff84
31,ff80
32,ff80
33,ff85
34,ff77
35,ffce
36,000d
37,fff2
38,0032
39,0080
3a,00c2
3b,010b
3c,00fa
3d,00fa
3e,0105
3f,00f1
40,010c
41,00e6
42,008d
43,0078
44,007c
45,008a
46,0047
47,0009
48,0022
49,0002
4a,fff7
4b,000f
4c,ffd8
4d,ff84
4e,ff7a
4f,ff8f
50,ff55
51,ff02
52,fef7
53,ff3b
54,ff88
55,ff84
56,ff7d
57,ff88
58,ff7c
59,ff86
5a,ff7f
5b,ff81
5c,ffe0
5d,000d
5e,fff7
5f,000d
60,ffe7
61,ff8a
62,ff79
63,ff8a
64,ff7a
65,ff82
66,ffd6
67,000c
68,fffe
69,fffd
6a,000c
6b,ffd1
6c,ff7e
6d,ff7f
6e,ff84
6f,ff7e
70,ff83
71,ff80
72,ff82
73,ff82
74,ff82
75,ff80
76,ff83
77,ff7e
78,ff85
79,ff7e
7a,ff86
7b,ffe9
7c,0009
7d,fff9
7e,0007
7f,fff5
80,003c
81,008b
82,0078
83,0081
84,007e
85,007c
86,0083
87,0076
88,008b
89,0062
8a,0007
8b,fff9
8c,0007
8d,fff9
8e,ffa5
8f,ff6f
90,ff8e
91,ff79
92,ff83
93,ffe0
94,0007
95,0001
96,fffb
97,000a
98,ffed
99,ff90
9a,ff78
9b,ff86
9c,ff81
9d,ff79
9e,ffa9
9f,0001
a0,0005
a1,fff9
a2,0007
a3,fffb
a4,0002
a5,0001
a6,fff9
a7,000f
a8,ffda
a9,ff86
aa,ff7b
ab,ff86
ac,ff80
ad,ff7e
ae,ff8a
af,ff75
b0,ff99
b1,ffcb
b2,ff89
b3,ff7b
b4,ff88
b5,ff7d
b6,ff84
b7,ff7d
b8,ff86
b9,ff78
ba,ffa3
bb,0005
bc,003c
bd,0076
be,0083
bf,007a
c0,0080
c1,007e
c2,007d
c3,0080
c4,0081
c5,004f
c6,0019
c7,0007
c8,fffb
c9,0001
ca,0000
cb,fffe
cc,0003
cd,fffd
ce,0003
cf,ffff
d0,ffff
d1,0009
d2,ffbf
d3,ff76
d4,ff84
d5,ff82
d6,ff7d
d7,ff89
d8,ff77
d9,ff92
da,ffed
db,000b
dc,fff9
dd,0004
de,0000
df,fffc
e0,0007
e1,fff5
e2,000f
e3,ffdc
e4,ff73
e5,ffc0
e6,0003
e7,000b
e8,ffd6
e9,ff9a
ea,fffd
eb,0007
ec,fff9
ed,0006
ee,ff98
ef,ff79
f0,ff88
f1,ff79
f2,ff8b
f3,ff76
f4,ff92
f5,fff1
f6,0008
f7,fffb
f8,0003
f9,ffff
fa,ffff
fb,0005
fc,fff8
fd,000b
fe,fff1
ff,ff98
100,ff75
101,ff84
102,ffd3
103,000b
104,fffd
105,fffd
106,0008
107,fff6
108,000b
109,005d
10a,0056
10b,0026
10c,0007
10d,fff7
10e,000e
10f,ffc9
110,ff79
111,ff83
112,ff82
113,ff80
114,ff82
115,ff82
116,ff7f
117,ff86
118,ff7b
119,ff8e
11a,fff1
11b,0009
11c,fff9
11d,0005
11e,fffd
11f,0001
120,0000
121,ffff
122,0003
123,fffb
124,0005
125,fffc
126,0002
127,0000
128,fffa
129,0010
12a,ffba
12b,ffa9
12c,0008
12d,0000
12e,fffd
12f,0005
130,fffb
131,0003
132,fffe
133,0000
134,0001
135,ffff
136,0001
137,ffff
138,0000
139,0000
13a,ffff
13b,0001
13c,ffff
13d,0000
13e,0001
13f,fffe
140,0004
141,fffb
142,0005
143,0026
144,0009
145,fff9
146,0005
147,fffd
148,0001
149,0000
14a,ffff
14b,0002
14c,fffd
14d,0004
14e,fffd
14f,0001
150,0005
151,ffb5
152,ff76
153,ff85
154,ff82
155,ff7d
156,ff88
157,ff7b
158,ff88
159,ff7f
15a,ff81
15b,fffb
15c,ffeb
15d,ff8a
15e,ffa5
15f,ff8e
160,ff77
161,ff89
162,ff7d
163,ff82
164,ff84
165,ff7d
166,ff84
167,ff81
168,ff7e
169,ff8a
16a,ff73
16b,ff9c
16c,ffe0
16d,ffe5
16e,ffff
16f,0001
170,0001
171,fffd
172,0002
173,0001
174,ffa1
175,ffc6
176,0013
177,fff7
178,0003
179,0001
17a,fffd
17b,0003
17c,fffd
17d,0000
17e,0000
17f,fffd
180,0003
181,003b
182,003d
183,002e
184,0083
185,0084
186,0055
187,0072
188,007e
189,0086
18a,0047
18b,ffed
18c,0024
18d,003e
18e,ffff
18f,ffff
190,0001
191,fffd
192,0003
193,fffd
194,0002
195,ffff
196,0000
197,0002
198,fffa
199,000c
19a,ffd7
19b,ff7e
19c,ff80
19d,ff84
19e,ff7e
19f,ff84
1a0,ff7f
1a1,ff82
1a2,ff82
1a3,ff80
1a4,ff84
1a5,ff80
1a6,ff82
1a7,ff82
1a8,ff80
1a9,ff84
1aa,ff7f
1ab,ff84
1ac,ff82
1ad,ff7f
1ae,ff86
1af,ff7b
1b0,ff8a
1b1,ff7b
1b2,ff85
1b3,ffeb
1b4,ffda
1b5,ff73
1b6,ff7e
1b7,ffc5
1b8,ffa7
1b9,ff77
1ba,ff85
1bb,ff7b
1bc,ffbb
1bd,000f
1be,fffb
1bf,0000
1c0,0005
1c1,fff7
1c2,0043
1c3,0068
1c4,0017
1c5,fff5
